 dataset_id,id,areas,bathymetry,class,Latitude,Longitude,family,infraphylum,order,parvphylum,phylum,scientificName,shoredistance,subphylum,originalScientificName
c24bf1c2-2c62-4056-a841-56d94e6e876a,e792ea84-9b6f-4291-a6bf-a81dc2345ccb,"[248, 252, 31904]",28,Teleostei,-5.448888779,71.81194305,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Bodianus axillaris,1460,Vertebrata,Bodianus axillaris
c24bf1c2-2c62-4056-a841-56d94e6e876a,af9ba92b-4971-4878-ad23-3955ddef2b53,"[248, 252, 31904]",13,Teleostei,-5.358889103,71.75861359,Sphyraenidae,Gnathostomata,Carangaria incertae sedis,Osteichthyes,Chordata,Sphyraena barracuda,265,Vertebrata,Sphyraena barracuda
c24bf1c2-2c62-4056-a841-56d94e6e876a,9ac937c1-7902-459c-893e-057e65400d6c,"[248, 252, 31904]",22,Teleostei,-5.450833321,71.81583405,Epinephelidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Cephalopholis polleni,1282,Vertebrata,Cephalopholis polleni
c24bf1c2-2c62-4056-a841-56d94e6e876a,28375234-422e-4660-8ec8-44d8ec26dd68,"[248, 252, 31904]",4,Teleostei,-5.422500134,71.78111267,Lutjanidae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Lutjanidae,3155,Vertebrata,Lutjanidae
c24bf1c2-2c62-4056-a841-56d94e6e876a,24eb9563-af2a-43ac-85dc-e33039f36b04,"[248, 252, 31904]",28,Teleostei,-5.448888779,71.81194305,Scorpaenidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Sebastapistes cyanostigma,1460,Vertebrata,Sebastapistes cyanostigma
c24bf1c2-2c62-4056-a841-56d94e6e876a,5a9d6373-79e3-40ac-a065-036e0578e162,"[248, 252, 31904]",15,Teleostei,-5.354444504,72.21583557,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Asterropteryx ensifera,727,Vertebrata,Asterropteryx ensiferus
c24bf1c2-2c62-4056-a841-56d94e6e876a,eb0f5520-d2b3-44b7-a844-e97c1bf0c554,"[248, 252, 31904]",15,Teleostei,-5.355000019,72.21611023,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Eviota infulata,666,Vertebrata,Eviota infulata
c24bf1c2-2c62-4056-a841-56d94e6e876a,6ac3a71b-e4ca-4860-bdb3-95cd59f09edc,"[248, 252, 31904]",2,Teleostei,-5.356666565,72.21694183,Bythitidae,Gnathostomata,Ophidiiformes,Osteichthyes,Chordata,Dinematichthys iluocoeteoides,495,Vertebrata,Dinematichthys iluocoeteoides
c24bf1c2-2c62-4056-a841-56d94e6e876a,2e5d50ff-f20b-466a-aebf-cdd9845b8739,"[218, 219, 10161, 20914, 40030, 31904]",21,Teleostei,-27.44805527,32.71722031,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Fusigobius inframaculatus,1288,Vertebrata,Fusigobius inframaculatus
c24bf1c2-2c62-4056-a841-56d94e6e876a,fe4470e9-4dab-4740-ae21-a4d6401ed730,"[248, 252, 31904]",16,Teleostei,-6.17527771,71.36611176,Acanthuridae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Acanthurus triostegus,2796,Vertebrata,Acanthurus triostegus
c24bf1c2-2c62-4056-a841-56d94e6e876a,f16932dc-2667-427c-82b6-1921cd0a1ca3,"[248, 252, 31904]",22,Teleostei,-5.450833321,71.81583405,Epinephelidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Cephalopholis spiloparaea,1282,Vertebrata,Cephalopholis spiloparaea
c24bf1c2-2c62-4056-a841-56d94e6e876a,75d79a45-c234-425c-a1d8-e58e2d624b88,"[248, 252, 31904]",4,Teleostei,-5.422500134,71.78111267,Ammodytidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Ammodytoides praematura,3155,Vertebrata,Ammodytoides praematura
c24bf1c2-2c62-4056-a841-56d94e6e876a,5a55ef59-4797-4134-b3d7-b849aba1862d,"[248, 252, 31904]",20,Teleostei,-5.362500191,72.22861481,Scorpaenidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Scorpaenodes albaiensis,774,Vertebrata,Scorpaenodes albaiensis
c24bf1c2-2c62-4056-a841-56d94e6e876a,f6e2bf9a-dcd7-4853-935f-564aaa032d97,"[248, 252, 31904]",12,Teleostei,-5.344722271,72.20833588,Apogonidae,Gnathostomata,Kurtiformes,Osteichthyes,Chordata,Ostorhinchus angustatus,457,Vertebrata,Apogon angustatus
c24bf1c2-2c62-4056-a841-56d94e6e876a,3e2ad179-f67e-4fbb-ab61-52aede122da1,"[218, 219, 10161, 20914, 40030, 31904]",52,Teleostei,-27.5027771,32.70194626,Monacanthidae,Gnathostomata,Tetraodontiformes,Osteichthyes,Chordata,Cantherhines pardalis,2241,Vertebrata,Cantherhines pardalis
c24bf1c2-2c62-4056-a841-56d94e6e876a,754a5854-a28e-48de-a264-7fa814594c07,"[8, 9, 40043, 31904]",1284,Teleostei,-35.16666794,115.0,Kyphosidae,Gnathostomata,Centrarchiformes,Osteichthyes,Chordata,Girella zebra,87034,Vertebrata,Girella zebra
c24bf1c2-2c62-4056-a841-56d94e6e876a,ea223825-9d96-4785-b7d5-0cf13081a634,"[248, 252, 31904]",12,Teleostei,-5.344170094,72.20916748,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Trimma dalerocheila,563,Vertebrata,Trimma dalerocheila
c24bf1c2-2c62-4056-a841-56d94e6e876a,196d8ce9-1a12-441d-9dc9-a513514c8b16,"[218, 219, 10161, 20914, 40030, 31904]",15,Teleostei,-27.52194405,32.68972397,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Barbuligobius boehlkei,1501,Vertebrata,Barbuligobius boehlkei
c24bf1c2-2c62-4056-a841-56d94e6e876a,807bf622-0f05-4820-8e07-d2d89f9d5af6,"[248, 252, 31904]",16,Teleostei,-6.179166794,71.35888672,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Gnatholepis anjerensis,2034,Vertebrata,Gnatholepis anjerensis
c24bf1c2-2c62-4056-a841-56d94e6e876a,826ff5d1-ccc7-4c03-81f8-1d25a6558b7a,"[248, 252, 31904]",2,Teleostei,-5.44444418,71.8172226,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Fusigobius duospilus,2008,Vertebrata,Fusigobius duospilus
c24bf1c2-2c62-4056-a841-56d94e6e876a,7f7afc6a-5b1c-4f5c-938c-e06ada9a6677,"[248, 252, 31904]",12,Teleostei,-5.344166756,72.20916748,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Oxycheilinus arenatus,563,Vertebrata,Oxycheilinus arenatus
c24bf1c2-2c62-4056-a841-56d94e6e876a,f7c45f99-4806-4b0a-a9b9-1e386a28479d,"[248, 252, 31904]",4,Teleostei,-5.384166718,71.7583313,Blenniidae,Gnathostomata,Blenniiformes,Osteichthyes,Chordata,Ecsenius midas,1154,Vertebrata,Ecsenius midas
c24bf1c2-2c62-4056-a841-56d94e6e876a,896dfa90-7f06-4dac-a332-5ea1d1140e6e,"[218, 219, 10057, 10161, 20914, 40030, 31904]",54,Teleostei,-26.88332939,32.91667175,Cirrhitidae,Gnathostomata,Centrarchiformes,Osteichthyes,Chordata,Cirrhitichthys oxycephalus,3210,Vertebrata,Cirrhitichthys oxycephalus
